ID	 BU   sigma
6315 8.07 0.22     
6578 6.02 0.22		 
6526 7.17 0.24 		
6223 6.32 0.27		 
6577 8.00 0.21 			
6525 7.37 0.22 			
6224 6.86 0.28 			
6316 7.78 0.23 			
6317 8.05 0.25 				
6527 7.57 0.26 				
6314 7.66 0.26 				
2788 7.23 3.28 				
3107 20.22 4.07 			
3082 14.84 3.19 			
2425 13.68 5.00 				
3329 18.53 3.83 				
4072 38.48 5.61 				
5018 27.22 5.81
5027 26.40 5.85
5021 27.04 5.42
4339 23.29 5.78
4143 40.73 6.39
5022 30.96 5.45
4078 49.10 6.19
3684 44.63 6.97
5000 32.19 5.63
5031 30.71 5.67
5653 32.06 5.69
5654 29.84 6.14
5019 29.01 6.18
5039 22.25 6.65
5253 35.17 6.26
5254 26.95 5.22
3380 17.97 4.17 
3330 16.05 4.14 
3336 15.94 4.09 
2789 15.04 5.20 
3498 15.81 3.67 
3501 15.78 3.90 
3494 15.48 3.67 
3696 15.98 3.81 
3876 16.65 3.67 
2435 12.86 2.87 
2448 15.66 3.57 
2452 16.16 3.96 
3105 17.78 4.14 
3018 18.70 4.49 
3147 18.58 4.17 
3144 18.39 4.19 
3111 17.92 4.55 
3326 19.97 4.47 
4080 35.68 6.19 
2458 14.30 3.97 
3006 15.04 4.11
3008 15.49 4.10 
3014 17.98 4.09 
3011 17.98 4.89 
3009 16.96 4.01 
3503 14.42 3.80 
3502 9.97 3.04 
3517 9.93 2.93 
3690 14.39 3.95 
3113 17.15 5.24 
5649 27.97 4.79
5256 29.78 5.38
5647 31.59 6.54
5655 32.17 5.01
5944 32.38 5.73
5950 28.36 6.85
5939 33.15 5.88
5946 32.46 5.47
5947 29.70 6.01
5948 33.19 5.95
5949 31.96 5.63
5951 29.58 5.76
2144 2.18 0.43
2900 5.34 3.55
2907 5.58 3.43
2909 4.58 4.12
2914 6.38 2.86
2917 4.33 4.44
2933 5.53 3.15
2934 6.73 2.75
2937 2.92 6.00
2942 2.95 6.35
2949 4.62 4.04
2953 6.83 2.82
2963 7.19 2.46
2966 7.79 2.42
2982 2.94 7.10
2986 6.78 2.53
2987 5.87 3.16
2988 2.96 7.08
3118 17.18 4.17 
4102 29.20 6.52 
4343 26.19 4.94 
4349 23.72 5.59 
4351 30.26 5.42 
4742 36.46 5.25 
4991 24.75 5.10 
4744 23.97 4.97 
5014 24.51 5.10
5001 24.68 4.94 
5017 28.26 5.28
2989 2.97 6.25
10706 0.20 1.08
10707 2.32 0.46
10893 0.22 0.96
10894 0.46 0.66
10895 2.36 0.46
10880 2.49 0.43
11341 1.26 0.50
11351 2.25 0.50
11352 0.00 0.00
5026 27.11 4.89
