loc    position
 A1     Thimble 
 B1        6315 
 B2       10880
 B3        6577
 B4        2966
 B5       10895
 B6       11341
 C1       11351
 C2        6316
 C3        2963
 C4       10894
 C5        2953
 C6        3082
 C7       Pulse 
 C8        2933
 C9        6314
C10        6527
C11        6317
C12        6526
 D1        3380
 D2        3330
 D3       10706
 D4      Safety 
 D5        3144
 D6        6224
 D7        3018
 D8        3105
 D9        2452
D10       10893
D11        2435
D12        3876
D13        3696
D14        3494
D15        3501
D16        Shim 
D17        3498
D18        3336
 E1         Reg 
 E2        2986
 E3        2458
 E4        3006
 E5        5014
 E6        4744
 E7        3147
 E8        4991
 E9        4742
E10        4351
E11        3107
E12        3690
E13        2987
E14        3118
E15       empty
E16        4343
E17        3517
E18        3502
E19        3503
E20        3009
E21        3011
E22        3014
E23       empty
E24        3111
 F1        5017
 F2        5018
 F3        5027
 F4        5021
 F5        5026
 F6        6223
 F7        5256
 F8        6525
 F9        5001
F10      Source
F11        5949
F12        2900
F13        3329
F14        5653
F15        2448
F16        5655
F17        5939
F18       empty
F19        3113
F20        2949
F21        5649
F22        2917
F23        5000
F24        5948
F25        graphite
F26        graphite
F27        graphite
F28        graphite
F29        2914
F30        2909
